Date,MP_Name,Original_MP_Name,Attendance
2021-02-25,He Ting Ru,Ms He Ting Ru (Sengkang).,False
2021-02-25,Sylvia Lim,Ms Sylvia Lim (Aljunied).,False
2021-02-25,Raeesah Khan,Ms Raeesah Khan (Sengkang).,False
2021-02-25,Tan Chuan-Jin,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)). ,True
2021-02-25,Abdul Samad,Mr Abdul Samad (Nominated Member). ,True
2021-02-25,Janet Ang,Ms Janet Ang (Nominated Member). ,True
2021-02-25,Ang Wei Neng,Mr Ang Wei Neng (West Coast). ,True
2021-02-25,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Minister for Transport. ",True
2021-02-25,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Trade and Industry. ",True
2021-02-25,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (East Coast). ,True
2021-02-25,Mark Chay,Mr Mark Chay (Nominated Member). ,True
2021-02-25,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Foreign Affairs and Transport. ",True
2021-02-25,Cheng Hsing Yao,Mr Cheng Hsing Yao (Nominated Member). ,True
2021-02-25,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2021-02-25,Edward Chia Bing Hui,Mr Edward Chia Bing Hui (Holland-Bukit Timah). ,True
2021-02-25,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2021-02-25,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2021-02-25,Eric Chua,"Mr Eric Chua (Tanjong Pagar), Parliamentary Secretary to the Ministers for Culture, Community and Youth and Social and Family Development. ",True
2021-02-25,Chua Kheng Wee Louis,Mr Chua Kheng Wee Louis (Sengkang). ,True
2021-02-25,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2021-02-25,Christopher de Souza,"Mr Christopher de Souza (Holland-Bukit Timah), Deputy Speaker. ",True
2021-02-25,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
2021-02-25,Grace Fu Hai Yien,"Ms Grace Fu Hai Yien (Yuhua), Minister for Sustainability and the Environment. ",True
2021-02-25,Gan Kim Yong,"Mr Gan Kim Yong (Chua Chu Kang), Minister for Health. ",True
2021-02-25,Gan Siow Huang,"Ms Gan Siow Huang (Marymount), Minister of State for Education and Manpower. ",True
2021-02-25,Gan Thiam Poh,Mr Gan Thiam Poh (Ang Mo Kio). ,True
2021-02-25,Gerald Giam Yean Song,Mr Gerald Giam Yean Song (Aljunied). ,True
2021-02-25,Derrick Goh,Mr Derrick Goh (Nee Soon). ,True
2021-02-25,Heng Chee How,"Mr Heng Chee How (Jalan Besar), Senior Minister of State for Defence. ",True
2021-02-25,Heng Swee Keat,"Mr Heng Swee Keat (East Coast), Deputy Prime Minister, Minister for Finance and Coordinating Minister for Economic Policies. ",True
2021-02-25,Hoon Hian Teck,Prof Hoon Hian Teck (Nominated Member). ,True
2021-02-25,Shawn Huang Wei Zhong,Mr Shawn Huang Wei Zhong (Jurong). ,True
2021-02-25,Indranee Rajah,"Ms Indranee Rajah (Tanjong Pagar), Minister, Prime Minister's Office and Second Minister for Finance and National Development and Leader of the House. ",True
