Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2021-02-25,2021-02-25-T-001,1,Announcement by Speaker,,OS,
2021-02-25,2021-02-25-T-002,2,Criteria for Reduction in Silver Support Payout Quantum,,OA,
2021-02-25,2021-02-25-T-003,3,Tiered Pricing for Stay-Home Notice Dedicated Facilities to Ensure Affordability,,OA,
2021-02-25,2021-02-25-T-004,4,Criteria for Restrictions in Phase Three of Re-opening to be Lifted,,OA,
2021-02-25,2021-02-25-T-005,5,Influence of Deliberate Online Falsehoods on People of Different Age Groups,,OA,
2021-02-25,2021-02-25-T-006,6,Impact of Postponement of World Economic Forum Meeting on Singapore's Preparations,,OA,
2021-02-25,2021-02-25-T-007,7,Polytechnic Graduates who Dropped Out of SGUnited Traineeships Programme,,OA,
2021-02-25,2021-02-25-T-008,8,Debate on Annual Budget Statement,,OS,
2021-02-25,2021-02-25-T-009,9,Exempted Business,,OS,
2021-02-25,2021-02-25-T-010,10,Debate on Annual Budget Statement,,OS,
2021-02-25,2021-02-25-T-011,11,Adjournment of Debate,,OS,
2021-02-25,2021-02-25-T-012,12,Adjournment,,OS,
2021-02-25,2021-02-25-T-013,13,Outcome of Pilot Care Close to Home Service Model in HDB Estates,,WANA,
2021-02-25,2021-02-25-T-014,14,Heritage Impact Assessment for Proposed Redevelopment or Change to Land Use,,WANA,
2021-02-25,2021-02-25-T-015,15,Peer Support Network Programmes in Schools and Institutes of Higher Learning,,WANA,
2021-02-25,2021-02-25-T-016,16,Effectiveness of Sexuality Programmes offered in Special Education Schools,,WANA,
2021-02-25,2021-02-25-T-017,17,Multi-storey Carparks in Fernvale for Urban Farming by Residents,,WANA,
2021-02-25,2021-02-25-T-018,18,Impact of Excluding Single Unwed Parents from Receiving Parenthood Tax Rebates and Working Mother's Child Relief,,WA,
2021-02-25,2021-02-25-T-019,19,Breakdown of Children and Young Persons below 25 Years Old Detained under Internal Security Act in Past 10 Years,,WA,
2021-02-25,2021-02-25-T-020,20,Process to Assist Disadvantaged Persons in Applying for Administration of CPF Money after Demise of Family Member,,WA,
2021-02-25,2021-02-25-T-021,21,"Identifying, Diagnosing and Raising Awareness of Post Natal Depression in Singapore",,WA,
2021-02-25,2021-02-25-T-022,22,Expand Number of Dementia-Friendly Communities and On-Demand Home-based Intervention as Alternative to Care Centres,,WA,
2021-02-25,2021-02-25-T-023,23,Conduct Study on Gradually Increasing Minimum Legal Age for Smoking to Reduce Prevalence of Youth Smoking,,WA,
2021-02-25,2021-02-25-T-024,24,Study on Demand and Need for Night-time Childcare Services,,WA,
2021-02-25,2021-02-25-T-025,25,Queries Related to Waitlist Position for Preschools Received in Past Five Years,,WA,
2021-02-25,2021-02-25-T-026,26,Average Cost and Construction Duration of Building Sheltered Walkways and LTA's Criteria in Deciding Their Feasibility,,WA,
2021-02-25,2021-02-25-T-027,27,Average Cost and Duration of Constructing Lifts at Pedestrian Overhead Bridges.,,WA,
2021-02-25,2021-02-25-T-028,28,"Breakdown of CPF members without Nomination at Time of Death by Age, Education Level and Household per Capita Income.",,WA,
